value,optlen,family,argv,mode,size,_vtids_length,tidptr,parent_comm,count,transport_header_type,a_nomEvent,window_size,child_ns_inum,child_pid,old_tid,stream_id,dfd,d_timestamp,vtids,version,p_name,egid,grouplist,tcache,head,content_size,state,network_header_type,parent_pid,seq,newsp,len,child_tid,dest_port,saddr,uid,frag_off,nodep,ruid,sig,ihl,type,tid,ovalue,data_offset,level,reserved,events_discarded,fd,tos,envp,id,checksum,euid,optname,fildes,sgid,gid,pid,ack_seq,stream_instance_id,how,parent_tid,cpu_id,pathname,comm,name,clone_flags,child_comm,buf,which,ret,urg_ptr,uservaddr,skbaddr,prio,daddr,filename,parent_ns_inum,rgid,cpup,ttl,timestamp,bufsiz,suid,packet_seq_num,tot_len,optval,source_port,flags,addrlen,protocol,gidsetsize,dirent
,,,,0,,,,,,,syscall_open,,,,,0,,841750268,,,,,,,,638944,,,,,,,,,,,,,,,,,,,,,,0,,,,19,,,,,,,,,0,,,0,,,,,,,,0,,,,,,/lib/modules/4.9.80-v7+/modules.softdep,,,,,12711285,,,34,,,,655360,,,,
,,,,,,,,,4096,,syscall_read,,,,,0,,841750268,,,,,,,,638944,,,,,,,,,,,,,,,,,,,,,,0,0,,,17,,,,,,,,,0,,,0,,,,,,2749584,,55,,,,,,,,,,,12730139,,,34,,,,,,,,
,,,,,,,,,4096,,syscall_read,,,,,0,,841750268,,,,,,,,638944,,,,,,,,,,,,,,,,,,,,,,0,0,,,17,,,,,,,,,0,,,0,,,,,,2749584,,0,,,,,,,,,,,12735972,,,34,,,,,,,,
,,,,,,,,,,,syscall_close,,,,,0,,841750268,,,,,,,,638944,,,,,,,,,,,,,,,,,,,,,,0,0,,,20,,,,,,,,,0,,,0,,,,,,,,0,,,,,,,,,,,12739618,,,34,,,,,,,,
,,,,0,,,,,,,syscall_open,,,,,0,,841750268,,,,,,,,638944,,,,,,,,,,,,,,,,,,,,,,0,,,,19,,,,,,,,,0,,,0,,,,,,,,0,,,,,,/proc/cmdline,,,,,12745295,,,34,,,,655360,,,,
,,,,,,,,,4095,,syscall_read,,,,,0,,841750268,,,,,,,,638944,,,,,,,,,,,,,,,,,,,,,,0,0,,,17,,,,,,,,,0,,,0,,,,,,2126179084,,259,,,,,,,,,,,12820816,,,34,,,,,,,,
,,,,,,,,,3836,,syscall_read,,,,,0,,841750268,,,,,,,,638944,,,,,,,,,,,,,,,,,,,,,,0,0,,,17,,,,,,,,,0,,,0,,,,,,2126179343,,0,,,,,,,,,,,12839826,,,34,,,,,,,,
,,,,,,,,,,,syscall_close,,,,,0,,841750268,,,,,,,,638944,,,,,,,,,,,,,,,,,,,,,,0,0,,,20,,,,,,,,,0,,,0,,,,,,,,0,,,,,,,,,,,12843107,,,34,,,,,,,,
,,,,0,,,,,,,syscall_open,,,,,0,,841750268,,,,,,,,638944,,,,,,,,,,,,,,,,,,,,,,0,,,,19,,,,,,,,,0,,,0,,,,,,,,0,,,,,,/lib/modules/4.9.80-v7+/modules.dep.bin,,,,,12895138,,,34,,,,655360,,,,
,,,,,,,,,,,syscall_close,,,,,0,,841750268,,,,,,,,638944,,,,,,,,,,,,,,,,,,,,,,0,0,,,20,,,,,,,,,0,,,0,,,,,,,,0,,,,,,,,,,,12991596,,,34,,,,,,,,
