value,optlen,family,argv,mode,size,path,_vtids_length,tidptr,parent_comm,count,transport_header_type,a_nomEvent,window_size,child_ns_inum,child_pid,old_tid,stream_id,dfd,d_timestamp,vtids,version,p_name,egid,grouplist,tcache,head,content_size,state,network_header_type,parent_pid,seq,newsp,len,child_tid,dest_port,saddr,uid,frag_off,ruid,nodep,sig,ihl,type,tid,ovalue,data_offset,level,reserved,events_discarded,fd,tos,envp,id,checksum,euid,optname,fildes,sgid,gid,pid,ack_seq,stream_instance_id,how,parent_tid,cpu_id,pathname,comm,name,clone_flags,child_comm,buf,which,ret,urg_ptr,uservaddr,skbaddr,prio,daddr,filename,parent_ns_inum,rgid,cpup,ttl,timestamp,bufsiz,suid,packet_seq_num,tot_len,optval,source_port,flags,addrlen,protocol,gidsetsize,dirent
,,,,,,,,,,4096,,syscall_read,,,,,0,,1544784116,,,,,,,,1640856,,,,,,,,,,,,,,,,,,,,,,0,0,,,17,,,,,,,,,0,,,0,,,,,,15312016,,20,,,,,,,,,,,29954662,,,12,,,,,,,,
,,,,,,,,,,4096,,syscall_read,,,,,0,,1544784116,,,,,,,,1640856,,,,,,,,,,,,,,,,,,,,,,0,0,,,17,,,,,,,,,0,,,0,,,,,,15312016,,0,,,,,,,,,,,29963568,,,12,,,,,,,,
,,,,,,,,,,,,syscall_exit_read,,,,,0,,772392058,,,in:imklog,,,,,1640856,,,,,,,,,,,,,,,,,,,,,,0,,,,320,,,,,,,,,0,,,0,,,,,,1988156712,,296,,,,,,,,,,,92234050212035,,,12,,,,,,,,
,,,,,,,,,,,,syscall_close,,,,,0,,1544784116,,,modprobe8:9,,,,,1640856,,,,,,,,,,,,,,,,,,,,,,0,0,,,20,,,,,,,,,0,,,0,,,,,,,,0,,,,,,,,,,,30352056,,,12,,,,,,,,
,,,,0,,,,,,,,syscall_open,,,,,0,,1544784116,,,modprobe8:9,,,,,1640856,,,,,,,,,,,,,,,,,,,,,,0,,,,19,,,,,,,,,0,,,0,,,,,,,,0,,,,,,/etc/modprobe.d/blacklist-rtl8xxxu.conf,,,,,30364712,,,12,,,,655360,,,,
,,,,,,,,,,,1,net_dev_queue,229,,,,0,,772392058,,4,modprobe8:9,,,,,1640856,,1,,3187215307,,1514,,5343,1322077235,,16384,,,,5,,,,8,,0,0,,0,,15315,24436,,,,,,,2861157994,0,,,0,,,enxb827eb8ec29a,,,,,,0,,2638278584,,1322077219,,,,,64,30424973,,,12,1500,,40460,16,,6,,
,,,,,,,,,,,1,net_dev_queue,229,,,,0,,772392058,,4,modprobe8:9,,,,,1640856,,1,,3187216755,,1514,,5343,1322077235,,16384,,,,5,,,,8,,0,0,,0,,15316,24435,,,,,,,2861157994,0,,,0,,,enxb827eb8ec29a,,,,,,0,,2638278968,,1322077219,,,,,64,30443254,,,12,1500,,40460,16,,6,,
,,,,,,,,,,,1,net_dev_queue,229,,,,0,,772392058,,4,modprobe8:9,,,,,1640856,,1,,3187218203,,1514,,5343,1322077235,,16384,,,,5,,,,8,,0,0,,0,,15317,24434,,,,,,,2861157994,0,,,0,,,enxb827eb8ec29a,,,,,,0,,2638279352,,1322077219,,,,,64,30452316,,,12,1500,,40460,16,,6,,
,,,,,,,,,,,1,net_dev_queue,229,,,,0,,772392058,,4,modprobe8:9,,,,,1640856,,1,,3187219651,,1514,,5343,1322077235,,16384,,,,5,,,,8,,0,0,,0,,15318,24433,,,,,,,2861157994,0,,,0,,,enxb827eb8ec29a,,,,,,0,,2638279736,,1322077219,,,,,64,30461222,,,12,1500,,40460,16,,6,,
,,,,,,,,,,8096,,syscall_read,,,,,0,,1544784116,,,in:imklog,,,,,1640856,,,,,,,,,,,,,,,,,,,,,,0,4,,,17,,,,,,,,,0,,,0,,,,,,15312016,,19,,,,,,,,,,,30336483,,,12,,,,,,,,
,,,,,,,,,,4096,,syscall_read,,,,,0,,1544784116,,,modprobe8:9,,,,,1640856,,,,,,,,,,,,,,,,,,,,,,0,0,,,17,,,,,,,,,0,,,0,,,,,,15312016,,0,,,,,,,,,,,30482785,,,12,,,,,,,,
,,,,,,,,,,,,syscall_close,,,,,0,,1544784116,,,modprobe8:9,,,,,1640856,,,,,,,,,,,,,,,,,,,,,,0,0,,,20,,,,,,,,,0,,,0,,,,,,,,0,,,,,,,,,,,30499087,,,12,,,,,,,,
,,,,,,,,,,,1,net_dev_queue,229,,,,0,,772392058,,4,modprobe8:9,,,,,1640856,,1,,3187221099,,1514,,5343,1322077235,,16384,,,,5,,,,8,,0,0,,0,,15319,24432,,,,,,,2861157994,0,,,0,,,enxb827eb8ec29a,,,,,,0,,2638280120,,1322077219,,,,,64,30532941,,,12,1500,,40460,16,,6,,
,,,,0,,,,,,,,syscall_open,,,,,0,,1544784116,,,modprobe8:9,,,,,1640856,,,,,,,,,,,,,,,,,,,,,,0,,,,19,,,,,,,,,0,,,0,,,,,,,,0,,,,,,/etc/modprobe.d/dkms.conf,,,,,30548774,,,12,,,,655360,,,,
,,,,,,,,,,4096,,syscall_read,,,,,0,,1544784116,,,modprobe8:9,,,,,1640856,,,,,,,,,,,,,,,,,,,,,,0,0,,,17,,,,,,,,,0,,,0,,,,,,15312016,,127,,,,,,,,,,,30495389,,,12,,,,,,,,
