value,optlen,family,argv,mode,size,_vtids_length,tidptr,parent_comm,count,transport_header_type,a_nomEvent,window_size,child_ns_inum,child_pid,old_tid,stream_id,dfd,d_timestamp,vtids,version,p_name,egid,grouplist,tcache,head,content_size,state,network_header_type,parent_pid,seq,newsp,len,child_tid,dest_port,uid,saddr,ruid,frag_off,nodep,sig,ihl,type,tid,ovalue,data_offset,level,reserved,events_discarded,fd,envp,tos,id,checksum,euid,optname,fildes,sgid,gid,pid,ack_seq,stream_instance_id,how,parent_tid,cpu_id,pathname,comm,name,clone_flags,child_comm,buf,which,ret,urg_ptr,uservaddr,skbaddr,prio,daddr,filename,parent_ns_inum,rgid,cpup,ttl,timestamp,bufsiz,suid,packet_seq_num,tot_len,optval,source_port,flags,addrlen,protocol,gidsetsize,dirent
,,,,,,,,,,,syscall_close,,,,,0,,1086563400,,,systemd-journal,,,,,456648,,,,,,,,,,,,,,,,,,,,,,0,15,,,20,,,,,,,,,2,,,2,,,,,,,,0,,,,,,,,,,,99685402,,,45,,,,,,,,
,,,,0,,,,,,,syscall_access,,,,,0,,1094420552,,,kworker/u8:9,,,,,638912,,,,,,,,,,,,,,,,,,,,,,0,,,,36,,,,,,,,,3,,,3,,,,,,,,-2,,,,,,/etc/ld.so.nohwcap,,,,,92245125584076,,,45,,,,,,,,
,,,,438,,,,,,,syscall_open,,,,,0,,1086563400,,,systemd-journal,,,,,456648,,,,,,,,,,,,,,,,,,,,,,0,,,,19,,,,,,,,,2,,,2,,,,,,,,-2,,,,,,/proc/sudoTracing.sh/sessionid,,,,,99706964,,,45,,,,655360,,,,
,,,,438,,,,,,,syscall_open,,,,,0,,1086563400,,,systemd-journal,,,,,456648,,,,,,,,,,,,,,,,,,,,,,0,,,,19,,,,,,,,,2,,,2,,,,,,,,-2,,,,,,/proc/sudoTracing.sh/loginuid,,,,,99737849,,,45,,,,655360,,,,
,,,,4,,,,,,,syscall_access,,,,,0,,1094420552,,,kworker/u8:9,,,,,638912,,,,,,,,,,,,,,,,,,,,,,0,,,,36,,,,,,,,,3,,,3,,,,,,,,0,,,,,,/etc/ld.so.preload,,,,,92245125629909,,,45,,,,,,,,
,,,,3,,,,,,,syscall_open,,,,,0,,1094420552,,,kworker/u8:9,,,,,638912,,,,,,,,,,,,,,,,,,,,,,0,,,,19,,,,,,,,,3,,,3,,,,,,,,0,,,,,,/etc/ld.so.preload,,,,,99757328,,,45,,,,524288,,,,
,,,,438,,,,,,,syscall_open,,,,,0,,1086563400,,,systemd-journal,,,,,456648,,,,,,,,,,,,,,,,,,,,,,0,,,,19,,,,,,,,,2,,,2,,,,,,,,15,,,,,,/proc/sudoTracing.sh/cgroup,,,,,99760714,,,45,,,,655360,,,,
,,,,,,,,,,,syscall_close,,,,,0,,1094420552,,,kworker/u8:9,,,,,638912,,,,,,,,,,,,,,,,,,,,,,0,0,,,20,,,,,,,,,3,,,3,,,,,,,,0,,,,,,,,,,,99774099,,,45,,,,,,,,
,,,,,,,,,1024,,syscall_read,,,,,0,,1086563400,,,systemd-journal,,,,,456648,,,,,,,,,,,,,,,,,,,,,,0,15,,,17,,,,,,,,,2,,,2,,,,,,6359640,,143,,,,,,,,,,,99778526,,,45,,,,,,,,
,,,,55648,,,,,,,syscall_open,,,,,0,,1094420552,,,kworker/u8:9,,,,,638912,,,,,,,,,,,,,,,,,,,,,,0,,,,19,,,,,,,,,3,,,3,,,,,,,,0,,,,,,/usr/lib/arm-linux-gnueabihf/libarmmem.so,,,,,99802224,,,45,,,,524288,,,,
,,,,,,,,,,,syscall_close,,,,,0,,1086563400,,,systemd-journal,,,,,456648,,,,,,,,,,,,,,,,,,,,,,0,15,,,20,,,,,,,,,2,,,2,,,,,,,,0,,,,,,,,,,,99816026,,,45,,,,,,,,
,,,,,,,,,512,,syscall_read,,,,,0,,1094420552,,,kworker/u8:9,,,,,638912,,,,,,,,,,,,,,,,,,,,,,0,0,,,17,,,,,,,,,3,,,3,,,,,,2123380752,,512,,,,,,,,,,,99814516,,,45,,,,,,,,
,,,,,,,,,1000,,syscall_read,,,,,0,,1094420552,,,kworker/u8:9,,,,,638912,,,,,,,,,,,,,,,,,,,,,,0,0,,,17,,,,,,,,,3,,,3,,,,,,2123379496,,1000,,,,,,,,,,,99827641,,,45,,,,,,,,
,,,,,,,,,45,,syscall_read,,,,,0,,1094420552,,,kworker/u8:9,,,,,638912,,,,,,,,,,,,,,,,,,,,,,0,0,,,17,,,,,,,,,3,,,3,,,,,,2123379440,,45,,,,,,,,,,,99834464,,,45,,,,,,,,
,,,,,,,,,,,syscall_close,,,,,0,,1094420552,,,kworker/u8:9,,,,,638912,,,,,,,,,,,,,,,,,,,,,,0,0,,,20,,,,,,,,,3,,,3,,,,,,,,0,,,,,,,,,,,99907953,,,45,,,,,,,,
