value,optlen,family,argv,mode,size,_vtids_length,tidptr,parent_comm,transport_header_type,count,a_nomEvent,window_size,child_ns_inum,child_pid,old_tid,stream_id,dfd,d_timestamp,info,vtids,version,p_name,egid,grouplist,tcache,head,content_size,state,network_header_type,parent_pid,seq,newsp,len,child_tid,dest_port,saddr,uid,frag_off,ruid,nodep,sig,ihl,type,tid,ovalue,data_offset,level,reserved,events_discarded,fd,tos,envp,id,checksum,euid,optname,fildes,sgid,gid,pid,ack_seq,stream_instance_id,how,parent_tid,cpu_id,pathname,comm,name,clone_flags,child_comm,buf,which,ret,urg_ptr,uservaddr,skbaddr,prio,daddr,filename,parent_ns_inum,rgid,cpup,ttl,timestamp,bufsiz,suid,packet_seq_num,tot_len,optval,source_port,flags,addrlen,protocol,gidsetsize,dirent
,,,,,,,,,,,syscall_close,,,,,0,,916760632,,,,modprobe8:0,,,,,644160,,,,,,,,,,,,,,,,,,,,,,0,0,,,20,,,,,,,,,0,,,0,,,,,,,,0,,,,,,,,,,,18014385,,,73,,,,,,,,
,,,,0,,,,,,,syscall_open,,,,,0,,916760632,,,,modprobe8:0,,,,,644160,,,,,,,,,,,,,,,,,,,,,,0,,,,19,,,,,,,,,0,,,0,,,,,,,,0,,,,,,/proc/cmdline,,,,,18020270,,,73,,,,655360,,,,
,,,,,,,,,1,,net_dev_queue,229,,,,0,,458380316,,,4,modprobe8:0,,,,,644160,,1,,3232466525,,1514,,5343,1322077235,,16384,,,,5,,,,8,,0,0,,0,,46936,58350,,,,,,,2861157994,0,,,0,,,enxb827eb8ec29a,,,,,,0,,2545222968,,1322077219,,,,,64,18080530,,,73,1500,,40460,16,,6,,
,,,,,,,,,,4095,syscall_read,,,,,0,,916760632,,,,modprobe8:0,,,,,644160,,,,,,,,,,,,,,,,,,,,,,0,0,,,17,,,,,,,,,0,,,0,,,,,,2125609740,,259,,,,,,,,,,,18051051,,,73,,,,,,,,
,,,,,,,,,,3836,syscall_read,,,,,0,,916760632,,,,modprobe8:0,,,,,644160,,,,,,,,,,,,,,,,,,,,,,0,0,,,17,,,,,,,,,0,,,0,,,,,,2125609999,,0,,,,,,,,,,,18097301,,,73,,,,,,,,
,,,,,,,,,,,syscall_close,,,,,0,,916760632,,,,modprobe8:0,,,,,644160,,,,,,,,,,,,,,,,,,,,,,0,0,,,20,,,,,,,,,0,,,0,,,,,,,,0,,,,,,,,,,,18100165,,,73,,,,,,,,
,,,,0,,,,,,,syscall_open,,,,,0,,916760632,,,,modprobe8:0,,,,,644160,,,,,,,,,,,,,,,,,,,,,,0,,,,19,,,,,,,,,0,,,0,,,,,,,,0,,,,,,/lib/modules/4.9.80-v7+/modules.dep.bin,,,,,18138759,,,73,,,,655360,,,,
,,,,,,,,,1,,net_dev_queue,229,,,,0,,458380316,,,4,modprobe8:0,,,,,644160,,1,,3232467973,,1514,,5343,1322077235,,16384,,,,5,,,,8,,0,0,,0,,46937,58349,,,,,,,2861157994,0,,,0,,,enxb827eb8ec29a,,,,,,0,,2545223352,,1322077219,,,,,64,18208863,,,73,1500,,40460,16,,6,,
,,,,,,,,,,,syscall_close,,,,,0,,916760632,,,,modprobe8:0,,,,,644160,,,,,,,,,,,,,,,,,,,,,,0,0,,,20,,,,,,,,,0,,,0,,,,,,,,0,,,,,,,,,,,18184696,,,73,,,,,,,,
,,,,0,,,,,,,syscall_open,,,,,0,,916760632,,,,modprobe8:0,,,,,644160,,,,,,,,,,,,,,,,,,,,,,0,,,,19,,,,,,,,,0,,,0,,,,,,,,0,,,,,,/lib/modules/4.9.80-v7+/modules.alias.bin,,,,,18224019,,,73,,,,655360,,,,
,,,,,,,,,,,syscall_close,,,,,0,,916760632,,,,modprobe8:0,,,,,644160,,,,,,,,,,,,,,,,,,,,,,0,0,,,20,,,,,,,,,0,,,0,,,,,,,,0,,,,,,,,,,,18255946,,,73,,,,,,,,
,,,,0,,,,,,,syscall_open,,,,,0,,916760632,,,,modprobe8:0,,,,,644160,,,,,,,,,,,,,,,,,,,,,,0,,,,19,,,,,,,,,0,,,0,,,,,,,,0,,,,,,/lib/modules/4.9.80-v7+/modules.symbols.bin,,,,,18262508,,,73,,,,655360,,,,
,,,,,,,,,,,syscall_close,,,,,0,,916760632,,,,modprobe8:0,,,,,644160,,,,,,,,,,,,,,,,,,,,,,0,0,,,20,,,,,,,,,0,,,0,,,,,,,,0,,,,,,,,,,,18289227,,,73,,,,,,,,
,,,,0,,,,,,,syscall_open,,,,,0,,916760632,,,,modprobe8:0,,,,,644160,,,,,,,,,,,,,,,,,,,,,,0,,,,19,,,,,,,,,0,,,0,,,,,,,,0,,,,,,/lib/modules/4.9.80-v7+/modules.builtin.bin,,,,,18295477,,,73,,,,655360,,,,
,,,,,,,,,1,,net_dev_queue,229,,,,0,,458380316,,,4,modprobe8:0,,,,,644160,,1,,3232469421,,1514,,5343,1322077235,,16384,,,,5,,,,8,,0,0,,0,,46938,58348,,,,,,,2861157994,0,,,0,,,enxb827eb8ec29a,,,,,,0,,2545223736,,1322077219,,,,,64,18327196,,,73,1500,,40460,16,,6,,
,,,,,,,,,,,syscall_close,,,,,0,,916760632,,,,modprobe8:0,,,,,644160,,,,,,,,,,,,,,,,,,,,,,0,0,,,20,,,,,,,,,0,,,0,,,,,,,,0,,,,,,,,,,,18348966,,,73,,,,,,,,
,,,,,,,,,1,,net_dev_queue,229,,,,0,,458380316,,,4,modprobe8:0,,,,,644160,,1,,3232470869,,1514,,5343,1322077235,,16384,,,,5,,,,8,,0,0,,0,,46939,58347,,,,,,,2861157994,0,,,0,,,enxb827eb8ec29a,,,,,,0,,2545224120,,1322077219,,,,,64,18456935,,,73,1500,,40460,16,,6,,
,,,,,,,,,1,,net_dev_queue,229,,,,0,,458380316,,,4,modprobe8:0,,,,,644160,,1,,3232472317,,1514,,5343,1322077235,,16384,,,,5,,,,8,,0,0,,0,,46940,58346,,,,,,,2861157994,0,,,0,,,enxb827eb8ec29a,,,,,,0,,2545224504,,1322077219,,,,,64,18556049,,,73,1500,,40460,16,,6,,
,,,,,,,,,1,,net_dev_queue,229,,,,0,,458380316,,,4,modprobe8:0,,,,,644160,,1,,3232473765,,1514,,5343,1322077235,,16384,,,,5,,,,8,,0,0,,0,,46941,58345,,,,,,,2861157994,0,,,0,,,enxb827eb8ec29a,,,,,,0,,2545224888,,1322077219,,,,,64,18675475,,,73,1500,,40460,16,,6,,
,,,,,,,,,1,,net_dev_queue,229,,,,0,,458380316,,,4,modprobe8:0,,,,,644160,,1,,3232475213,,1514,,5343,1322077235,,16384,,,,5,,,,8,,0,0,,0,,46942,58344,,,,,,,2861157994,0,,,0,,,enxb827eb8ec29a,,,,,,0,,2545225272,,1322077219,,,,,64,18805214,,,73,1500,,40460,16,,6,,
,,,,,,,,,,,sched_process_exit,,,,,0,,458380316,,,,modprobe8:0,,,,,644160,,,,,,,,,,,,,,,,,16391,,,,,0,,,,3,,,,,,,,,0,,,0,,modprobe8:0,,,,,,,,,,20,,,,,,,18855735,,,73,,,,,,,,
,,,,,,,,,1,,net_dev_queue,229,,,,0,,458380316,,,4,modprobe8:0,,,,,644160,,1,,3232476661,,1514,,5343,1322077235,,16384,,,,5,,,,8,,0,0,,0,,46943,58343,,,,,,,2861157994,0,,,0,,,enxb827eb8ec29a,,,,,,0,,2545225656,,1322077219,,,,,64,18940891,,,73,1500,,40460,16,,6,,
,,,,,,,,,1,,net_dev_queue,229,,,,0,,458380316,,,4,swapper/0,,,,,644160,,1,,3232478109,,1514,,5343,1322077235,,16384,,,,5,,,,8,,0,0,,0,,46944,58342,,,,,,,2861157994,0,,,0,,,enxb827eb8ec29a,,,,,,0,,2545226040,,1322077219,,,,,64,19055057,,,73,1500,,40460,16,,6,,
,,,,,,,,,1,,net_dev_queue,229,,,,0,,458380316,,,4,swapper/0,,,,,644160,,1,,3232479557,,1514,,5343,1322077235,,16384,,,,5,,,,8,,0,0,,0,,46945,58341,,,,,,,2861157994,0,,,0,,,enxb827eb8ec29a,,,,,,0,,2545226424,,1322077219,,,,,64,19191150,,,73,1500,,40460,16,,6,,
,,,,,,,,,1,,net_dev_queue,229,,,,0,,458380316,,,4,swapper/0,,,,,644160,,1,,3232481005,,1514,,5343,1322077235,,16384,,,,5,,,,8,,0,0,,0,,46946,58340,,,,,,,2861157994,0,,,0,,,enxb827eb8ec29a,,,,,,0,,2545226808,,1322077219,,,,,64,19298962,,,73,1500,,40460,16,,6,,
,,,,,,,,,1,,net_dev_queue,229,,,,0,,458380316,,,4,swapper/0,,,,,644160,,1,,3232482453,,1514,,5343,1322077235,,16384,,,,5,,,,8,,0,0,,0,,46947,58339,,,,,,,2861157994,0,,,0,,,enxb827eb8ec29a,,,,,,0,,2545227192,,1322077219,,,,,64,19425003,,,73,1500,,40460,16,,6,,
,,,,,,,,,1,,net_dev_queue,229,,,,0,,458380316,,,4,swapper/0,,,,,644160,,1,,3232483901,,1514,,5343,1322077235,,16384,,,,5,,,,8,,0,0,,0,,46948,58338,,,,,,,2861157994,0,,,0,,,enxb827eb8ec29a,,,,,,0,,2545227576,,1322077219,,,,,64,19546252,,,73,1500,,40460,16,,6,,
