value,optlen,family,argv,mode,size,_vtids_length,tidptr,parent_comm,count,transport_header_type,a_nomEvent,window_size,child_ns_inum,child_pid,old_tid,stream_id,dfd,d_timestamp,vtids,version,p_name,egid,grouplist,tcache,head,content_size,state,network_header_type,parent_pid,seq,newsp,len,child_tid,dest_port,saddr,uid,frag_off,ruid,nodep,sig,ihl,type,tid,ovalue,data_offset,level,reserved,events_discarded,fd,envp,tos,id,checksum,euid,optname,fildes,sgid,gid,pid,ack_seq,stream_instance_id,how,parent_tid,cpu_id,pathname,comm,name,clone_flags,child_comm,buf,which,ret,urg_ptr,uservaddr,skbaddr,prio,daddr,filename,parent_ns_inum,rgid,cpup,ttl,timestamp,bufsiz,suid,packet_seq_num,tot_len,optval,source_port,flags,addrlen,protocol,gidsetsize,dirent
,,,,,,,,,,,syscall_close,,,,,0,,424528246,,,modprobe8:0,,,,,169840,,,,,,,,,,,,,,,,,,,,,,0,0,,,20,,,,,,,,,1,,,1,,,,,,,,0,,,,,,,,,,,71114684,,,19,,,,,,,,
,,,,,,,,,1024,,syscall_read,,,,,0,,350811920,,,systemd-journal,,,,,157880,,,,,,,,,,,,,,,,,,,,,,0,15,,,17,,,,,,,,,3,,,3,,,,,,6359640,,143,,,,,,,,,,,71106091,,,19,,,,,,,,
,,,,,,,,,,,syscall_close,,,,,0,,350811920,,,systemd-journal,,,,,157880,,,,,,,,,,,,,,,,,,,,,,0,15,,,20,,,,,,,,,3,,,3,,,,,,,,0,,,,,,,,,,,71190934,,,19,,,,,,,,
,,,,1,,,,,,,syscall_open,,,,,0,,424528246,,,modprobe8:0,,,,,169840,,,,,,,,,,,,,,,,,,,,,,0,,,,19,,,,,,,,,1,,,1,,,,,,,,0,,,,,,/etc/ld.so.cache,,,,,71245569,,,19,,,,524288,,,,
,,,,,,,,,,,syscall_close,,,,,0,,424528246,,,modprobe8:0,,,,,169840,,,,,,,,,,,,,,,,,,,,,,0,0,,,20,,,,,,,,,1,,,1,,,,,,,,0,,,,,,,,,,,71276923,,,19,,,,,,,,
,,,,0,,,,,,,syscall_access,,,,,0,,424528246,,,modprobe8:0,,,,,169840,,,,,,,,,,,,,,,,,,,,,,0,,,,36,,,,,,,,,1,,,1,,,,,,,,-2,,,,,,/etc/ld.so.nohwcap,,,,,92235970383010,,,19,,,,,,,,
,,,,14688,,,,,,,syscall_open,,,,,0,,424528246,,,modprobe8:0,,,,,169840,,,,,,,,,,,,,,,,,,,,,,0,,,,19,,,,,,,,,1,,,1,,,,,,,,0,,,,,,/lib/arm-linux-gnueabihf/libc.so.6,,,,,71331350,,,19,,,,524288,,,,
,,,,,,,,,512,,syscall_read,,,,,0,,424528246,,,modprobe8:0,,,,,169840,,,,,,,,,,,,,,,,,,,,,,0,0,,,17,,,,,,,,,1,,,1,,,,,,2125051768,,512,,,,,,,,,,,71357183,,,19,,,,,,,,
,,,,,,,,,2880,,syscall_read,,,,,0,,424528246,,,modprobe8:0,,,,,169840,,,,,,,,,,,,,,,,,,,,,,0,0,,,17,,,,,,,,,1,,,1,,,,,,2125048632,,2880,,,,,,,,,,,71380829,,,19,,,,,,,,
,,,,,,,,,47,,syscall_read,,,,,0,,424528246,,,modprobe8:0,,,,,169840,,,,,,,,,,,,,,,,,,,,,,0,0,,,17,,,,,,,,,1,,,1,,,,,,2125048576,,47,,,,,,,,,,,71396923,,,19,,,,,,,,
,,,,,,,,,,,syscall_getpid,,,,,0,,350811920,,,systemd-journal,,,,,157880,,,,,,,,,,,,,,,,,,,,,,0,,,,30,,,,,,,,,3,,,3,,,,,,,,121,,,,,,,,,,,71430048,,,19,,,,,,,,
,,,,,,,,,,,syscall_getpid,,,,,0,,350811920,,,systemd-journal,,,,,157880,,,,,,,,,,,,,,,,,,,,,,0,,,,30,,,,,,,,,3,,,3,,,,,,,,121,,,,,,,,,,,71439943,,,19,,,,,,,,
,,,,0,,,,,,,syscall_access,,,,,0,,350811920,,,systemd-journal,,,,,157880,,,,,,,,,,,,,,,,,,,,,,0,,,,36,,,,,,,,,3,,,3,,,,,,,,0,,,,,,/run/systemd/journal/flushed,,,,,92235970528895,,,19,,,,,,,,
,,,,493,,,,,,,syscall_mkdir,,,,,0,,350811920,,,systemd-journal,,,,,157880,,,,,,,,,,,,,,,,,,,,,,0,,,,41,,,,,,,,,3,,,3,/var/log/journal/89caa8f7a5e342689a75e351c1e05987,,,,,,,-2,,,,,,,,,,,92235970559728,,,19,,,,,,,,
,,,,,,,,,,,syscall_close,,,,,0,,424528246,,,modprobe8:0,,,,,169840,,,,,,,,,,,,,,,,,,,,,,0,0,,,20,,,,,,,,,1,,,1,,,,,,,,0,,,,,,,,,,,71537912,,,19,,,,,,,,
,,,,416,,,,,,,syscall_open,,,,,0,,350811920,,,systemd-journal,,,,,157880,,,,,,,,,,,,,,,,,,,,,,0,,,,19,,,,,,,,,3,,,3,,,,,,,,-2,,,,,,/var/log/journal/89caa8f7a5e342689a75e351c1e05987/system.journal,,,,,71529839,,,19,,,,655426,,,,
,,,,0,,,,,,,syscall_access,,,,,0,,350811920,,,systemd-journal,,,,,157880,,,,,,,,,,,,,,,,,,,,,,0,,,,36,,,,,,,,,3,,,3,,,,,,,,0,,,,,,/run/systemd/journal/flushed,,,,,92235970648269,,,19,,,,,,,,
,,,,493,,,,,,,syscall_mkdir,,,,,0,,350811920,,,systemd-journal,,,,,157880,,,,,,,,,,,,,,,,,,,,,,0,,,,41,,,,,,,,,3,,,3,/var/log/journal/89caa8f7a5e342689a75e351c1e05987,,,,,,,-2,,,,,,,,,,,92235970676134,,,19,,,,,,,,
,,,,416,,,,,,,syscall_open,,,,,0,,350811920,,,systemd-journal,,,,,157880,,,,,,,,,,,,,,,,,,,,,,0,,,,19,,,,,,,,,3,,,3,,,,,,,,-2,,,,,,/var/log/journal/89caa8f7a5e342689a75e351c1e05987/system.journal,,,,,71635463,,,19,,,,655426,,,,
,,,,,,,,,,,syscall_getpid,,,,,0,,350811920,,,systemd-journal,,,,,157880,,,,,,,,,,,,,,,,,,,,,,0,,,,30,,,,,,,,,3,,,3,,,,,,,,121,,,,,,,,,,,72051607,,,19,,,,,,,,
,,,,,,,,,,,syscall_getpid,,,,,0,,350811920,,,systemd-journal,,,,,157880,,,,,,,,,,,,,,,,,,,,,,0,,,,30,,,,,,,,,3,,,3,,,,,,,,121,,,,,,,,,,,72060253,,,19,,,,,,,,
,,,,,,,,,,,syscall_getpid,,,,,0,,350811920,,,systemd-journal,,,,,157880,,,,,,,,,,,,,,,,,,,,,,0,,,,30,,,,,,,,,3,,,3,,,,,,,,121,,,,,,,,,,,72067440,,,19,,,,,,,,
,,,,,,,,,,,syscall_getpid,,,,,0,,350811920,,,systemd-journal,,,,,157880,,,,,,,,,,,,,,,,,,,,,,0,,,,30,,,,,,,,,3,,,3,,,,,,,,121,,,,,,,,,,,72080045,,,19,,,,,,,,
,,,,,,,,,,,syscall_getpid,,,,,0,,350811920,,,systemd-journal,,,,,157880,,,,,,,,,,,,,,,,,,,,,,0,,,,30,,,,,,,,,3,,,3,,,,,,,,121,,,,,,,,,,,72103065,,,19,,,,,,,,
,,,,,,,,,,,syscall_getpid,,,,,0,,350811920,,,systemd-journal,,,,,157880,,,,,,,,,,,,,,,,,,,,,,0,,,,30,,,,,,,,,3,,,3,,,,,,,,121,,,,,,,,,,,72111919,,,19,,,,,,,,
,,,,,,,,,,,syscall_getpid,,,,,0,,350811920,,,systemd-journal,,,,,157880,,,,,,,,,,,,,,,,,,,,,,0,,,,30,,,,,,,,,3,,,3,,,,,,,,121,,,,,,,,,,,72118742,,,19,,,,,,,,
